,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
597,2020-02-24,DE-BY,84.494919,558717.178928,2290711.1492,5.30720500000001,0.005375,4.927076,3.85222
598,2020-02-24,DE-HB,87.558598,56347.080504,2419334.839744,5.870517000000007,0.011654,4.512821,6.451442
599,2020-02-24,DE-HE,83.648865,122750.131542,2350003.325676,5.380828000000008,0.005297,4.161171,4.994269
600,2020-02-24,DE-HH,88.103755,83699.240353,2414361.361742,5.065117000000043,0.011045,3.015152,5.349211
601,2020-02-24,DE-MV,83.441107,1090400.293208,2413171.692396,4.920418000000041,0.007487,2.159403,5.470791
602,2020-02-24,DE-NI,85.83796,139639.671591,2405165.913925,5.471259000000032,0.009883,3.744674,5.675518
603,2020-02-24,DE-NW,84.726003,64755.696421,2381115.463038,6.146060000000034,0.00793,4.286455,5.521457
604,2020-02-24,DE-RP,87.068423,49452.939857,2348215.095696,6.902958000000012,0.004557,3.939706,4.815265
605,2020-02-24,DE-SH,89.698396,112132.961829,2414592.719839,4.7336950000000115,0.011502,2.401251,5.398002
606,2020-02-24,DE-SL,89.469314,39634.695588,2352559.821332,7.496547000000021,0.004242,3.570652,5.506386
607,2020-02-24,DE-SN,74.949745,2903999.825101,2351068.387203,4.5853309999999965,0.003976,4.459253,6.06776
608,2020-02-24,DE-ST,77.766733,997897.469422,2396350.135252,5.378791000000035,0.004947,3.766826,5.390107
609,2020-02-24,DE-TH,79.191038,1193652.678134,2332707.907826,4.368517999999995,0.003976,4.373454,5.677133
648,2020-02-25,DE-BB,75.394159,3458871.574975,2371364.551783,7.512527000000034,0.002096,4.85413,5.420213
649,2020-02-25,DE-BE,74.395394,3176315.339161,2376131.106643,7.7573430000000485,0.001321,5.006993,5.73514
650,2020-02-25,DE-BW,78.67531,723148.19062,2276180.846892,6.627256000000045,0.008104,5.230876,6.260114
651,2020-02-25,DE-BY,80.751379,1317061.960923,2257233.007786,6.204250000000002,0.004723,5.340352,5.066295
652,2020-02-25,DE-HB,74.84327,5177040.288462,2382804.842949,6.251877000000036,0.001326,5.871795,8.713515
653,2020-02-25,DE-HE,79.475527,3181325.580296,2313854.922008,6.666336999999999,0.006218,5.542423,6.163405
654,2020-02-25,DE-HH,75.631439,5095071.636364,2375531.886364,5.836488000000031,0.001527,4.068182,7.818687
655,2020-02-25,DE-MV,74.612034,4176034.5032,2371802.337016,6.18948400000005,0.001476,4.373971,7.195504
656,2020-02-25,DE-NI,74.836292,5048511.036184,2368609.961623,6.250107000000014,0.002232,5.538741,7.150778
657,2020-02-25,DE-NW,76.068814,5096842.088292,2346430.345222,6.545085000000029,0.005254,6.394185,6.274441
658,2020-02-25,DE-RP,83.256729,2775848.532933,2314031.481952,6.480970000000013,0.007663,5.576755,6.180471
659,2020-02-25,DE-SH,80.198699,4754685.511841,2372845.020889,5.303426999999999,0.003196,4.058534,9.497248
660,2020-02-25,DE-SL,88.49556,2071990.826936,2319086.193614,6.113926000000049,0.014504,5.043478,7.207609
661,2020-02-25,DE-SN,80.084262,1528555.260041,2313839.665853,7.238580000000013,0.002829,4.177844,5.911287
662,2020-02-25,DE-ST,71.527648,3851346.695017,2357741.579533,7.7579470000000015,0.003165,5.862817,5.635729
663,2020-02-25,DE-TH,78.324806,2682203.909759,2295604.365366,6.754139000000009,0.004101,5.011418,6.330909
702,2020-02-26,DE-BB,88.125721,1182080.973277,2368445.502197,2.950353000000007,0.003876,3.266131,3.80635
703,2020-02-26,DE-BE,90.961829,807675.34528,2373126.388112,2.8190910000000144,0.002376,3.58042,3.985927
704,2020-02-26,DE-BW,81.445764,2721533.17255,2272775.638895,1.3414089999999987,0.008252,5.680148,6.446453
705,2020-02-26,DE-BY,79.655141,4636539.051662,2250767.334806,1.801208000000031,0.005319,6.186533,6.316189
706,2020-02-26,DE-HB,86.623881,3034152.166667,2385582.682692,3.6548070000000052,0.003681,4.679487,4.28937
707,2020-02-26,DE-HE,83.655568,1134962.627223,2311289.751389,2.1130899999999997,0.005802,4.320489,5.64585
708,2020-02-26,DE-HH,85.26998,2461035.696023,2378708.609848,2.86757700000004,0.001816,5.022727,3.59315
709,2020-02-26,DE-MV,82.203208,2326335.942434,2373518.02103,3.229652000000044,0.001261,3.828101,4.492731
710,2020-02-26,DE-NI,88.170288,2152842.672697,2369826.363487,2.8645200000000273,0.004654,4.283257,3.804402
711,2020-02-26,DE-NW,88.912437,1095178.694135,2346243.170611,2.213591000000008,0.008696,4.320712,5.051093
712,2020-02-26,DE-RP,82.268321,2232595.064756,2313037.887545,2.1217720000000213,0.003799,4.810393,6.187591
713,2020-02-26,DE-SH,84.920706,4181674.135221,2380299.607015,2.9210480000000416,0.00116,4.761394,3.63682
714,2020-02-26,DE-SL,84.924162,3063424.347826,2318891.888587,1.9617430000000127,0.003811,5.130435,6.777695
715,2020-02-26,DE-SN,84.329372,3134768.017721,2307533.097199,2.289786000000049,0.005645,4.182088,5.573384
716,2020-02-26,DE-ST,85.445799,1686148.108772,2355169.719106,2.9651530000000434,0.004493,3.682972,4.17045
717,2020-02-26,DE-TH,85.065897,2085327.128895,2291140.692317,1.644736000000023,0.004715,4.457659,5.635831
756,2020-02-27,DE-BB,82.989759,3423350.503232,2383668.429136,2.9118250000000216,0.001724,3.885011,3.06661
757,2020-02-27,DE-BE,81.454139,3385435.202797,2388448.256993,3.455043000000046,0.001732,4.412587,3.394755
758,2020-02-27,DE-BW,83.948059,757048.739813,2271955.367229,1.2411820000000375,0.012448,6.18373,6.175576
759,2020-02-27,DE-BY,79.941348,2558723.044034,2253618.533039,1.222135000000037,0.009827,6.598144,5.101208
760,2020-02-27,DE-HB,86.433282,1389680.703526,2398057.317308,3.260148000000015,0.002077,4.961538,3.985791
761,2020-02-27,DE-HE,86.693075,192857.059125,2317314.098926,1.4526900000000182,0.01071,4.428677,4.322044
762,2020-02-27,DE-HH,82.867173,2465456.520833,2392690.920455,3.2867439999999988,0.001164,5.060606,3.620044
763,2020-02-27,DE-MV,84.860522,2934297.635553,2390019.56271,2.233517000000006,0.001143,3.714721,3.019361
764,2020-02-27,DE-NI,85.512553,977733.622567,2381925.310307,2.6935789999999997,0.002354,4.656146,3.442303
765,2020-02-27,DE-NW,88.937658,185654.789933,2353891.083953,1.8391960000000154,0.007754,5.360604,3.747446
766,2020-02-27,DE-RP,89.982954,86298.970124,2313741.450714,1.1541760000000068,0.015442,4.690996,4.724309
767,2020-02-27,DE-SH,86.410962,3180734.805518,2393804.984361,2.734593000000018,0.001942,4.147453,3.367771
768,2020-02-27,DE-SL,91.917503,24134.484847,2316544.514946,1.1323480000000359,0.015114,5.019022,5.726585
769,2020-02-27,DE-SN,79.235013,3901483.742837,2319342.320034,2.107687999999996,0.003628,4.760187,4.244733
770,2020-02-27,DE-ST,79.44118,1768213.751988,2368474.488875,3.122971000000007,0.001812,4.05811,3.271255
771,2020-02-27,DE-TH,82.913733,887475.148475,2300665.971456,1.3734790000000316,0.006028,4.408183,4.280711
