date,iso3166-2,region_code,confirmed_addition,deceased_addition,population,cases_pc,deaths_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-03-08,DE-SN,Sachsen,5,0,4077937,1.226110163055486e-06,0.0,73.341808,5045885.92466,2355348.245968,4.7416900000000055,6e-06,7.307301,4.089965
2020-03-08,DE-SH,Schleswig-Holstein,1,0,2896712,3.452189931204759e-07,0.0,80.494392,1091752.56657,2416695.415885,7.816917000000046,0.001393,4.112154,5.953094
2020-03-09,DE-BW,Baden-Württemberg,51,2,11069533,4.607240431913433e-06,1.8067609536915424e-07,82.727615,2818340.567108,2301055.519471,5.042029000000014,0.006148,7.826439,3.874831
2020-03-09,DE-BY,Bayern,87,0,13076721,6.653043985567942e-06,0.0,83.164935,2562434.289273,2282373.108165,4.34648900000002,0.004053,6.421009,3.132905
2020-03-09,DE-BE,Berlin,22,0,3644826,6.0359534309731106e-06,0.0,83.79289,990098.97465,2412438.70979,7.005623000000014,0.003827,5.776224,3.072931
2020-03-09,DE-BB,Brandenburg,4,0,2511917,1.592409303332873e-06,0.0,84.02995,1394872.406358,2407796.073186,6.690674000000001,0.003549,5.090133,2.766725
2020-03-09,DE-HB,Bremen,7,0,682986,1.0249111987654213e-05,0.0,81.667148,3465777.891026,2419263.169872,7.986334999999997,0.00366,5.75641,4.863034
2020-03-09,DE-HH,Hamburg,21,0,1841179,1.140573512950126e-05,0.0,84.025726,2196064.298295,2414244.399621,7.6732620000000225,0.003873,6.090909,3.75947
2020-03-09,DE-HE,Hessen,20,0,6265809,3.191926214156863e-06,0.0,78.843888,5798808.259077,2344442.099574,6.299153000000047,0.001683,7.045572,3.929638
2020-03-09,DE-MV,Mecklenburg-Vorpommern,4,0,1609675,2.4849736748101323e-06,0.0,84.897829,2172746.981818,2412776.582902,7.186460000000011,0.003001,4.587626,3.09386
2020-03-09,DE-NI,Niedersachsen,14,0,7982448,1.753847942385594e-06,0.0,80.032474,4470836.807566,2404020.611294,7.522506000000021,0.002362,6.356951,4.127553
2020-03-09,DE-NW,Nordrhein-Westfalen,97,5,17932651,5.409127741347334e-06,2.788210175952234e-07,79.43509,4879030.479772,2378490.244478,6.815628000000004,0.001764,7.202389,4.36169
2020-03-09,DE-RP,Rheinland-Pfalz,6,0,4084844,1.4688443426480913e-06,0.0,80.528615,4361822.947342,2343015.981456,6.05312200000003,0.001799,8.755653,4.140984
2020-03-09,DE-SL,Saarland,5,0,990509,5.047909711067744e-06,0.0,85.630479,2787169.911685,2347029.057745,5.83674400000001,0.00254,9.331522,4.635394
2020-03-09,DE-SN,Sachsen,5,0,4077937,1.226110163055486e-06,0.0,80.006968,1378665.255846,2345505.80348,5.724603000000002,0.002908,5.039049,3.430249
2020-03-09,DE-SH,Schleswig-Holstein,3,0,2896712,1.0356569793614277e-06,0.0,88.505926,3641422.131144,2414985.914097,7.204270000000008,0.003422,4.748436,3.956475
2020-03-10,DE-BW,Baden-Württemberg,116,0,11069533,1.0479213531410946e-05,0.0,88.463986,2439.200721,2300014.687717,5.250529000000029,0.011586,6.050612,6.314282
2020-03-10,DE-BY,Bayern,111,3,13076721,8.488366464345305e-06,2.294153098471704e-07,90.015459,81754.057393,2280787.240741,4.0369550000000345,0.012122,5.434808,5.131316
2020-03-10,DE-BE,Berlin,34,0,3644826,9.328291666049353e-06,0.0,89.667916,285835.479349,2398154.386364,6.224093000000039,0.007923,6.0,5.786597
2020-03-10,DE-BB,Brandenburg,9,0,2511917,3.582920932498964e-06,0.0,88.738965,455603.729859,2393542.288099,6.107572000000005,0.007871,5.539041,5.356882
2020-03-10,DE-HB,Bremen,11,0,682986,1.6105747409170906e-05,0.0,90.149298,248505.132812,2397531.439103,8.895788000000039,0.011706,4.730769,7.667361
2020-03-10,DE-HH,Hamburg,29,0,1841179,1.5750777083596977e-05,0.0,89.817709,82702.44114,2392366.087121,8.128638000000024,0.012119,5.818182,6.207071
2020-03-10,DE-HE,Hessen,16,0,6265809,2.5535409713254905e-06,0.0,91.031028,1879.917526,2334178.032327,6.663994000000002,0.011823,5.112634,6.512452
2020-03-10,DE-MV,Mecklenburg-Vorpommern,1,0,1609675,6.212434187025331e-07,0.0,90.088078,188921.308311,2392904.658183,6.527658000000031,0.01095,4.898811,5.63613
2020-03-10,DE-NI,Niedersachsen,34,1,7982448,4.259345002936443e-06,1.2527485302754243e-07,89.35467,209178.576717,2384444.632127,8.306594000000018,0.011422,4.807638,6.788138
2020-03-10,DE-NW,Nordrhein-Westfalen,175,0,17932651,9.758735615832818e-06,0.0,89.995192,5805.080467,2363099.34201,8.713655000000017,0.014245,5.15551,7.198288
2020-03-10,DE-RP,Rheinland-Pfalz,17,0,4084844,4.161725637502926e-06,0.0,91.346113,755.321873,2334625.633875,7.679570000000012,0.012119,5.851646,7.158193
