date,iso3166-2,region_code,confirmed_addition,population,cases_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-08-05,SE-T,Örebro,7,304805,2.2965502534407243e-05,80.079492,2133824.177357,2391811.850545,13.889683000000048,0.00128,22.060936,3.161573
2020-08-04,SE-T,Örebro,8,304805,2.6246288610751135e-05,69.21266,11454643.10712,2383325.187941,14.785106000000042,0.000939,33.244387,1.980794
2020-08-03,SE-T,Örebro,6,304805,1.968471645806335e-05,68.124335,10485627.495831,2374990.626042,15.942585000000008,7.5e-05,28.958307,4.011736
2020-08-02,SE-T,Örebro,0,304805,0.0,75.92455,7720502.784798,2379504.676555,17.754467000000034,0.000941,23.903143,2.466445
2020-08-01,SE-T,Örebro,3,304805,9.842358229031676e-06,65.818827,18889558.801796,2399603.685375,19.297063000000037,0.0,35.900577,1.303202
2020-07-31,SE-T,Örebro,17,304805,5.577336329784616e-05,74.046745,9292628.005131,2398966.047627,17.486075000000028,6.7e-05,29.556767,2.453164
2020-07-30,SE-T,Örebro,7,304805,2.2965502534407243e-05,79.348899,9623956.876203,2374566.50016,15.845158000000026,0.004165,27.708146,3.932358
2020-07-29,SE-T,Örebro,0,304805,0.0,84.467459,7458537.791212,2367699.898172,13.782083,0.0072,21.706222,3.332874
2020-07-28,SE-T,Örebro,10,304805,3.280786076343892e-05,88.853011,1874910.54474,2373706.779827,14.658622000000037,0.01273,17.020526,2.905367
2020-07-27,SE-T,Örebro,3,304805,9.842358229031676e-06,74.741744,10694910.612893,2391948.504169,16.661297000000047,0.000568,28.713278,2.600433
2020-07-26,SE-T,Örebro,0,304805,0.0,75.375568,8176122.239897,2382401.812219,16.571916000000044,0.006218,29.178961,3.176996
2020-07-25,SE-T,Örebro,4,304805,1.3123144305375567e-05,66.276943,14387751.492623,2377501.769564,14.74481800000001,0.000349,35.070558,2.518099
2020-07-24,SE-T,Örebro,4,304805,1.3123144305375567e-05,62.13208,9853768.039128,2368502.815427,13.985398000000032,9e-06,33.076331,2.327154
2020-07-23,SE-T,Örebro,7,304805,2.2965502534407243e-05,57.908052,14102139.286081,2382476.930083,13.424896000000047,2.9e-05,35.144965,3.321972
2020-07-22,SE-T,Örebro,3,304805,9.842358229031676e-06,63.118257,19121139.103271,2391596.655548,13.488136999999995,0.000282,34.729314,3.062316
2020-07-21,SE-T,Örebro,2,304805,6.561572152687784e-06,76.040205,11850224.377165,2387111.113695,13.764779000000033,0.001778,30.418858,2.446229
2020-07-20,SE-T,Örebro,2,304805,6.561572152687784e-06,84.443713,3618347.572322,2384143.403784,16.15758900000003,0.013339,24.385504,2.2827
2020-07-19,SE-T,Örebro,0,304805,0.0,72.79601,12770338.612893,2395694.716164,18.864370000000008,0.000792,28.924952,2.231599
2020-07-18,SE-T,Örebro,3,304805,9.842358229031676e-06,75.583448,4388596.088919,2402809.084349,17.702836000000048,0.000394,26.302758,2.742455
2020-07-17,SE-T,Örebro,2,304805,6.561572152687784e-06,70.291682,16134613.345093,2399970.889994,17.931894,0.000227,36.194997,2.838946
2020-07-16,SE-T,Örebro,5,304805,1.640393038171946e-05,79.905435,11332362.784477,2394646.87492,17.188941999999997,0.001186,30.936498,1.394516
2020-07-15,SE-T,Örebro,9,304805,2.9527074687095027e-05,91.305431,2238872.503448,2387358.686818,14.707664000000022,0.008549,21.880051,2.235103
2020-07-14,SE-T,Örebro,2,304805,6.561572152687784e-06,86.976422,1032681.631956,2390806.286081,13.677988000000028,0.006394,18.857601,2.013339
